id,x,y,elev
246,36.674405,-0.980136,2333
247,36.704967,-1.034665,2144
248,36.74894,-1.180788,1915
249,36.610208,-1.224066,2098
250,37.022777,-1.04755,1530
251,36.963481,-1.195145,1508
252,36.807579,-0.880049,2032
253,37.053086,-1.173445,1467
254,37.096229,-1.140199,1471
255,37.110012,-1.208476,1470
256,37.023153,-1.125308,1503
257,37.033791,-1.037706,1523
258,36.759222,-0.869239,2182
259,36.778158,-1.028238,1925
260,39.600312,-2.932245,124
261,39.494889,-3.046766,139
262,39.955897,-3.277535,48
263,40.023024,-3.110512,17
264,39.615126,-2.945292,109
265,39.698739,-3.664385,126
266,39.482122,-2.9481,151
267,39.617697,-3.252127,131
268,39.745587,-3.373791,170
269,39.503481,-3.076132,116
270,39.348003,-3.575284,254
271,39.89413,-3.158998,36
272,39.64475,-3.771955,264
273,39.890887,-2.383227,113
274,39.249297,-3.26375,250
275,39.208514,-3.259775,320
276,39.867076,-2.944444,106
277,39.690788,-3.646186,105
278,39.847224,-2.391784,126
279,40.094607,-3.077702,41
280,37.318084,-0.207648,3921
281,37.335402,-0.282368,2623
282,37.315226,-0.533519,1357
283,37.243129,-0.431171,1917
284,37.300476,-0.664509,1179
285,37.264749,-0.507825,1564
286,37.356396,-0.514005,1421
287,37.438993,-0.724833,1103
288,37.312589,-0.495087,1497
289,37.263065,-0.289843,2968
290,37.306635,-0.566373,1293
291,37.301736,-0.617922,1218
292,37.149206,-0.542724,1540
293,37.309833,-0.356545,2193
294,37.459745,-0.710483,1087
295,37.289792,-0.368487,2162
296,37.412468,-0.467529,1559
297,37.229934,-0.412126,2067
298,37.31366,-0.384069,2015
299,37.327751,-0.328413,2304
300,34.885128,-0.597137,1999
301,34.819091,-0.712203,1781
302,34.675805,-0.924921,1671
303,34.805426,-0.547372,1646
304,34.659683,-0.865729,1566
305,34.800234,-0.711023,1911
306,34.974846,-0.830351,2017
307,34.809789,-0.876677,1790
308,34.847648,-0.831698,1883
309,34.893968,-0.813591,2034
310,34.937611,-0.874038,1962
311,34.652299,-0.658018,1486
312,34.910051,-0.868639,1982
313,34.900665,-0.75344,1997
314,34.796787,-0.752682,1800
315,34.669743,-0.81501,1826
316,34.794351,-0.774464,1821
